,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
1490,201489,R,1985,UKR,172.0,Q235559,Mariya Koryttseva
1491,201490,R,1989,SUI,170.0,Q232439,Timea Bacsinszky
1492,201491,R,1982,FRA,172.0,Q291084,Olivia Sanchez
1493,201492,R,1987,GER,180.0,Q57557,Andrea Petkovic
1494,201493,L,1988,GER,173.0,Q77178,Angelique Kerber
1495,201494,R,1989,ROU,173.0,Q232432,Raluca Olaru
1496,201495,R,1989,SVK,161.0,Q211802,Dominika Cibulkova
1497,201496,R,1990,DEN,177.0,Q30767,Caroline Wozniacki
1498,201497,R,1988,HUN,168.0,Q236870,Agnes Szavay
1499,201498,R,1987,ITA,180.0,Q232600,Karin Knapp
1500,201499,R,1991,RUS,177.0,Q487182,Anastasia Pavlyuchenkova
1501,201500,R,1985,CRO,170.0,Q4176380,Nika Ozegovic
1502,201501,R,1988,BLR,182.0,Q230248,Olga Govortsova
1503,201502,R,1987,GER,,,Tatjana Malek
1504,201503,R,1990,JPN,163.0,Q232607,Ayumi Morita
1505,201504,R,1988,GER,180.0,Q77167,Julia Goerges
1506,201505,L,1988,RUS,178.0,Q953688,Kate Makarova
1507,201506,R,1987,ITA,164.0,Q229005,Sara Errani
1508,201507,R,1986,USA,175.0,,Audra Cohen
1509,201508,R,1985,CZE,172.0,Q234821,Petra Cetkovska
1510,201509,R,1989,USA,165.0,Q4805636,Ashley Weinhold
1512,201511,R,1987,RUS,,,Ekaterina Ivanova
1513,201512,R,1987,ROU,168.0,Q230346,Monica Niculescu
1514,201513,R,1989,GER,178.0,Q76338,Sabine Lisicki
1515,201514,R,1990,ROU,176.0,Q230242,Sorana Cirstea
1516,201515,R,1989,RUS,181.0,Q220755,Alisa Kleybanova
1517,201516,R,1989,RUS,170.0,Q258950,Evgeniya Rodina
1518,201517,R,1988,SVK,180.0,Q230359,Magdalena Rybarikova
1519,201518,R,1989,BEL,182.0,Q228983,Yanina Wickmayer
1520,201519,L,1988,FRA,170.0,,Violette Huck
1521,201520,L,1990,CZE,183.0,Q30812,Petra Kvitova
1522,201521,R,1988,ESP,162.0,Q230260,Carla Suarez Navarro
1523,201522,R,1983,CRO,170.0,Q442087,Jelena Pandzic
1524,201523,R,1988,NZL,174.0,Q232575,Marina Erakovic
1525,201524,R,1990,POL,177.0,Q236866,Urszula Radwanska
1526,201525,R,1984,CZE,,,Eva Hrdinova
1527,201526,R,1982,FRA,172.0,Q234828,Julie Coin
1528,201527,R,1990,SUI,170.0,Q234838,Stefanie Voegele
1529,201528,R,1991,USA,168.0,Q30787,Melanie Oudin
1530,201529,R,1992,USA,165.0,Q3104444,Kristie Ahn
1531,201530,R,1991,USA,165.0,Q5517052,Gail Brodsky
1532,201531,R,1989,COL,169.0,Q235562,Mariana Duque Marino
1533,201532,R,1990,RUS,181.0,Q258785,Anastasia Pivovarova
1534,201533,R,1989,CHN,177.0,Q197291,Shuai Zhang
1535,201534,R,1991,USA,178.0,Q4806395,Asia Muhammad
1536,201535,R,1991,USA,185.0,Q54688,Coco Vandeweghe
1537,201536,U,1992,AUS,,,Monika Wejnert
1538,201537,R,1986,AUT,169.0,Q239781,Patricia Mayr Achleitner
1539,201538,R,1992,AUS,,,Isabella Holland
1540,201539,R,1992,USA,170.0,Q45405,Christina Mchale
1541,201540,R,1993,FRA,184.0,Q242959,Kristina Mladenovic
1542,201541,R,1984,RSA,176.0,Q234854,Chanelle Scheepers
1543,201542,R,1991,AUS,175.0,Q242993,Olivia Rogowska
1544,201543,R,1989,AUS,,,Emelyn Starr
1545,201544,R,1985,UKR,157.0,,Oxana Lyubtsova
1546,201545,R,1990,LAT,169.0,Q232445,Anastasija Sevastova
1547,201546,R,1986,RUS,172.0,Q291006,Anna Lapushchenkova
1548,201547,R,1993,POR,165.0,Q183371,Michelle Larcher De Brito
1549,201548,R,1993,AUS,180.0,Q2712407,Ajla Tomljanovic
1550,201549,R,1991,CRO,181.0,Q232553,Petra Martic
1551,201550,L,1992,BEL,,Q1619502,Tamaryn Hendler
1552,201551,L,1990,NED,180.0,Q239758,Arantxa Rus
1553,201552,R,1990,USA,,,Mallory Cecil
1554,201553,R,1988,SVK,,Q3487008,Lenka Wienerova
1555,201554,R,1990,RUS,170.0,Q254756,Vitalia Diatchenko
1556,201555,R,1991,SLO,182.0,Q229079,Polona Hercog
1557,201556,R,1985,CZE,177.0,Q11583,Lucie Hradecka
1558,201557,R,1989,ITA,,Q259071,Corinna Dentoni
1559,201558,R,1991,USA,,Q6500202,Lauren Embree
1560,201559,R,1988,FRA,178.0,,Irena Pavlovic
1561,201560,R,1989,FRA,,,Kinnie Laisne
1562,201561,L,1986,FRA,178.0,Q438500,Claire Feuerstein
1563,201562,R,1987,ESP,169.0,Q239665,Silvia Soler Espinosa
1564,201563,U,1986,BLR,,Q254328,Darya Kustova
1565,201564,R,1982,SVK,,,Lenka Tvaroskova
1566,201565,R,1991,POL,173.0,Q83562,Katarzyna Piter
1567,201566,R,1987,ROU,,,Agnes Szatmari
1568,201567,R,1989,ROU,172.0,Q231028,Alexandra Dulgheru
1569,201568,R,1990,SVK,163.0,Q254267,Kristina Kucova
1570,201569,R,1988,GBR,165.0,,Georgie Gent
1571,201570,R,1989,SRB,170.0,Q289326,Vesna Dolonc
1572,201571,R,1987,SLO,,Q406925,Masa Zec Peskiric
1573,201572,R,1989,RUS,183.0,,Regina Kulikova
1574,201573,L,1994,GBR,180.0,Q10120,Laura Robson
1575,201574,R,1983,POR,170.0,Q2580987,Neuza Silva
1576,201575,U,1988,USA,,,Hilary Barte
1577,201576,R,1988,CAN,170.0,Q456254,Valerie Tetreault
1578,201577,R,1986,CAN,180.0,Q440093,Heidi El Tabakh
1579,201578,R,1991,TPE,167.0,Q239612,Kai Chen Chang
1580,201579,L,1986,JPN,168.0,Q2604291,Yurika Sema
1581,201580,L,1990,CHN,172.0,Q713509,Xinyun Han
1582,201581,R,1986,CHN,,Q440843,Chun Mei Ji
1583,201582,R,1989,CHN,170.0,Q3487333,Jing Jing Lu
1584,201583,R,1992,RUS,168.0,,Yana Buchina
1585,201584,L,1991,KAZ,170.0,Q232613,Ksenia Pervak
1586,201585,R,1993,USA,170.0,Q54670,Sloane Stephens
1587,201586,R,1992,GBR,170.0,Q239605,Heather Watson
1588,201587,R,1991,SRB,175.0,Q239671,Bojana Jovanovski
1589,201588,R,1990,GEO,171.0,Q236789,Anna Tatishvili
1590,201589,R,1990,CAN,163.0,Q1026173,Sharon Fichman
1591,201590,R,1990,USA,173.0,Q54572,Alison Riske Amritraj
1592,201591,R,1982,GEO,172.0,Q462701,Margalita Chakhnashvili
1593,201592,U,1988,ESP,,,Beatriz Garcia Vidagany
1594,201593,R,1990,ROU,181.0,Q239751,Irina Camelia Begu
1595,201594,R,1991,ROU,168.0,Q230156,Simona Halep
1596,201595,L,1991,JPN,159.0,Q34256,Misaki Doi
1597,201596,R,1988,SWE,174.0,Q233328,Johanna Larsson
1598,201597,R,1991,JPN,155.0,Q270125,Kurumi Nara
1599,201598,R,1991,THA,167.0,Q1613602,Noppawan Lertcheewakarn
1600,201599,R,1986,CZE,174.0,Q11581,Andrea Hlavackova
1601,201600,R,1990,USA,173.0,Q53561,Jamie Hampton
1602,201601,R,1990,USA,180.0,,Chelsey Gullickson
1603,201602,R,1992,USA,175.0,,Beatrice Capra
1604,201603,R,1992,USA,175.0,Q377658,Shelby Rogers
1605,201604,R,1990,USA,163.0,Q53418,Irina Falconi
1606,201605,R,1985,LUX,180.0,Q239841,Mandy Minella
1607,201606,R,1990,CAN,183.0,Q241946,Rebecca Marino
1608,201607,R,1991,AUS,162.0,Q270587,Sally Peers
1609,201608,L,1987,CHN,170.0,Q271741,Sheng Nan Sun
1610,201609,R,1991,CHN,,Q593082,Yi Miao Zhou
1611,201610,R,1993,KAZ,172.0,Q2466357,Zarina Diyas
1612,201611,R,1994,AUS,166.0,Q2446649,Daria Saville
1613,201612,R,1982,JPN,170.0,Q271714,Junri Namigata
1614,201613,R,1989,AUS,168.0,Q291769,Arina Rodionova
1615,201614,R,1993,FRA,177.0,Q258877,Caroline Garcia
1616,201615,R,1989,UKR,174.0,Q289378,Lesia Tsurenko
1617,201616,R,1993,USA,157.0,Q53405,Lauren Davis
1618,201617,R,1984,CRO,,Q4750526,Ana Vrljic
1619,201618,R,1991,OMA,170.0,Q5437905,Fatma Al Nabhani
1620,201619,R,1995,USA,178.0,Q34403,Madison Keys
1621,201620,R,1993,PUR,170.0,Q1616699,Monica Puig
1622,201621,R,1990,GER,185.0,Q77153,Mona Barthel
1623,201622,R,1984,FRA,,,Iryna Bremond
1632,201631,R,1991,THA,174.0,Q13512783,Nicha Lertpitaksinchai
1633,201632,R,1986,JPN,,,Ryoko Fuda
1634,201633,U,1982,JPN,,,Tomoko Yonemura
1635,201634,U,1988,COL,,Q22279441,Viky Nunez Fuentes
1636,201635,R,1988,ARG,180.0,Q794230,Betina Jozami
1637,201636,R,1993,BLR,169.0,,Anna Orlik
1638,201637,R,1984,MEX,,Q6009648,Melissa Torres Sandoval
1639,201638,R,1987,ESP,173.0,Q34387,Estrella Cabeza Candela
1640,201639,U,1984,UKR,,Q11726012,Yevheniia Savranska
1641,201640,R,1992,ESP,173.0,Q716568,Maria Teresa Torro Flor
1642,201641,R,1990,MAR,,Q1619369,Nadia Lalami
1643,201642,L,1989,MAR,,Q3067214,Fatima El Allami
1644,201643,R,1986,ESP,,,Eva Fernandez Brugues
1645,201644,R,1984,ESP,,,Paula Fondevila Castro
1646,201645,U,1982,POR,,Q461468,Frederica Piedade
1647,201646,U,1992,POR,174.0,Q438663,Maria Joao Koehler
1648,201647,R,1980,GER,176.0,Q63562,Jasmin Woehr
1649,201648,R,1990,GBR,189.0,Q461706,Naomi Broady
1650,201649,R,1990,SVK,,Q6522678,Lenka Jurikova
1651,201650,R,1986,UKR,,,Irina Buryachok
1652,201651,R,1988,SWE,,Q12327022,Michaela Johansson
1653,201652,R,1989,KGZ,174.0,Q946098,Ksenia Palkina
1654,201653,R,1994,SWE,,Q5364728,Ellen Allgurin
1655,201654,L,1990,SWE,,Q671352,Sandra Roma
1656,201655,L,1982,ITA,,,Anna Floris
1657,201656,R,1990,SLO,178.0,Q3809139,Tadeja Majeric
1658,201657,R,1994,SLO,176.0,Q6967718,Nastja Kolar
1659,201658,R,1987,GER,,,Carmen Klaschka
1660,201659,R,1990,AUT,171.0,Q531929,Melanie Klaffner
1661,201660,R,1988,CZE,,,Tereza Hladikova
1662,201661,R,1984,AUT,170.0,,Tina Schiechtl
1663,201662,R,1992,CZE,184.0,Q289365,Karolina Pliskova
1664,201663,R,1986,BLR,168.0,Q269191,Ekaterina Dzehalevich
1665,201664,R,1986,TUR,170.0,Q3544658,Pemra Ozgen
1667,201666,R,1989,TUR,172.0,Q1616864,Cagla Buyukakcay
1668,201667,R,1989,HKG,178.0,Q8070270,Ling Zhang
1669,201668,R,1989,RUS,179.0,Q289422,Alexandra Panova
1670,201669,R,1987,CHN,,,Yan Chong Chen
1671,201670,R,1989,SUI,186.0,Q64583,Amra Sadikovic
1672,201671,R,1990,RUS,165.0,Q660518,Ksenia Lykina
1673,201672,R,1994,UZB,184.0,Q4054628,Nigina Abduraimova
1674,201673,R,1992,UZB,,Q15922087,Alexandra Kolesnichenko
