,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
261,Maria Kirilenko,2.076923076923077,33.84615384615385,3.5384615384615383,23.0,5.230769230769231,22.0,17,2006
262,Anabel Medina Garrigues,2.0,41.0,2.0,25.0,5.0,23.0,14,2006
263,Vera Zvonareva,3.25,32.0,3.0,23.25,4.625,25.0,23,2006
264,Jie Zheng,1.0,55.857142857142854,1.8571428571428572,34.714285714285715,8.571428571428571,27.0,13,2006
265,Klara Koukalova,,,,,,28.0,4,2006
266,Gisela Dulko,1.0,47.2,6.0,29.4,9.4,29.0,7,2006
267,Nathalie Dechy,1.25,57.5,3.75,38.75,6.25,29.0,8,2006
268,Samantha Stosur,5.0,39.81818181818182,2.727272727272727,28.545454545454547,4.636363636363637,30.0,23,2006
269,Lucie Safarova,4.25,47.25,3.75,30.25,8.0,30.0,11,2006
270,Mara Santangelo,3.5,53.166666666666664,4.166666666666667,34.833333333333336,7.833333333333333,32.0,19,2006
271,Sania Mirza,1.6666666666666667,29.833333333333332,2.1666666666666665,20.166666666666668,4.5,32.0,18,2006
272,Michaella Krajicek,5.5,48.5,3.6666666666666665,34.666666666666664,6.833333333333333,34.0,14,2006
273,Kveta Peschke,1.5,37.0,3.0,27.0,6.0,34.0,4,2006
274,Sofia Arvidsson,3.9,45.0,2.4,29.1,7.0,34.0,13,2006
275,Martina Muller,0.5,58.5,2.5,33.5,9.5,35.0,5,2006
276,Eleni Daniilidou,1.375,46.5,4.0,29.625,7.5,36.0,19,2006
277,Shuai Peng,4.0,55.25,1.5,34.75,8.75,38.0,8,2006
278,Catalina Castano,1.0,49.0,2.0,37.0,3.0,38.0,8,2006
279,Shinobu Asagoe,1.3333333333333333,47.666666666666664,3.3333333333333335,29.666666666666668,9.666666666666666,39.0,3,2006
280,Marta Domachowska,4.0,39.833333333333336,2.3333333333333335,29.333333333333332,4.833333333333333,39.0,10,2006
281,Vera Dushevina,1.5,45.5,5.0,30.5,10.5,40.0,5,2006
282,Iveta Benesova,,,,,,41.0,11,2006
283,Anna Smashnova,0.0,33.0,1.0,24.0,6.0,41.0,4,2006
284,Severine Beltrame,,,,,,42.0,12,2006
285,Meghann Shaughnessy,5.0,43.333333333333336,4.0,30.0,6.833333333333333,43.0,14,2006
286,Lourdes Dominguez Lino,,,,,,43.0,7,2006
287,Shenay Perry,5.666666666666667,33.0,4.0,23.666666666666668,3.0,45.0,7,2006
288,Elena Vesnina,1.5,41.333333333333336,2.3333333333333335,27.833333333333332,4.5,45.0,12,2006
289,Sybille Bammer,0.25,56.0,0.75,34.25,8.75,46.0,14,2006
290,Roberta Vinci,1.75,41.75,3.0,27.75,6.0,47.0,6,2006
291,Virginie Razzano,0.75,53.75,4.5,33.5,7.75,47.0,5,2006
292,Nuria Llagostera Vives,,,,,,47.0,6,2006
293,Akiko Morigami,,,,,,48.0,6,2006
294,Jill Craybas,2.0,42.5,2.3333333333333335,28.833333333333332,6.5,48.0,13,2006
295,Laura Granville,0.7142857142857143,37.714285714285715,2.4285714285714284,26.428571428571427,4.571428571428571,49.0,11,2006
296,Romina Oprandi,,,,,,49.0,1,2006
297,Olga Puchkova,,,,,,49.0,15,2006
298,Jelena Kostanic Tosic,2.0,44.0,2.0,29.5,5.0,50.0,18,2006
299,Maria Elena Camerin,1.6666666666666667,46.0,4.0,32.0,5.333333333333333,51.0,14,2006
300,Amy Frazier,1.6,33.2,5.0,23.6,7.4,52.0,8,2006
301,Jamea Jackson,1.0,59.0,3.4,34.4,10.2,52.0,11,2006
302,Vania King,1.0,31.5,0.5,25.0,3.5,53.0,9,2006
303,Venus Williams,2.0,35.0,6.0,23.0,6.0,54.0,1,2006
304,Agnieszka Radwanska,1.75,51.25,2.5,34.75,8.25,54.0,5,2006
305,Emilie Loit,3.0,57.0,2.0,35.5,7.5,55.0,5,2006
306,Julia Schruff,2.4,49.2,0.6,33.2,8.6,58.0,11,2006
