,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
283,Maria Kirilenko,2.2,44.6,5.1,26.6,10.0,21.0,17,2006
284,Tatiana Golovin,2.2222222222222223,50.111111111111114,2.6666666666666665,29.333333333333332,8.222222222222221,21.0,14,2006
285,Anabel Medina Garrigues,0.3333333333333333,40.5,3.1666666666666665,22.833333333333332,10.0,23.0,14,2006
286,Vera Zvonareva,1.875,43.75,1.625,24.875,10.375,25.0,14,2006
287,Jie Zheng,0.5,55.833333333333336,3.6666666666666665,29.166666666666668,12.666666666666666,27.0,9,2006
288,Klara Koukalova,,,,,,27.0,9,2006
289,Gisela Dulko,1.2222222222222223,40.22222222222222,5.111111111111111,21.88888888888889,10.666666666666666,28.0,14,2006
290,Lucie Safarova,4.333333333333333,42.833333333333336,5.833333333333333,25.833333333333332,8.0,30.0,14,2006
291,Samantha Stosur,2.727272727272727,37.09090909090909,2.090909090909091,21.0,9.272727272727273,30.0,15,2006
292,Mara Santangelo,2.7,47.0,5.0,30.1,9.1,32.0,14,2006
293,Sania Mirza,1.8888888888888888,49.333333333333336,4.444444444444445,27.77777777777778,13.555555555555555,32.0,18,2006
294,Kveta Peschke,0.7777777777777778,45.888888888888886,4.0,25.333333333333332,11.555555555555555,32.0,11,2006
295,Alona Bondarenko,0.5,46.666666666666664,3.1666666666666665,25.333333333333332,10.833333333333334,33.0,10,2006
296,Michaella Krajicek,2.0,32.714285714285715,4.142857142857143,17.285714285714285,10.142857142857142,34.0,9,2006
297,Sofia Arvidsson,0.0,56.5,3.0,25.5,14.0,34.0,10,2006
298,Martina Muller,0.3333333333333333,37.333333333333336,3.0,19.666666666666668,11.0,35.0,6,2006
299,Eleni Daniilidou,0.25,47.5,5.75,26.25,10.5,36.0,14,2006
300,Meghann Shaughnessy,5.0,42.285714285714285,6.714285714285714,28.285714285714285,12.428571428571429,37.0,13,2006
301,Anna Smashnova,0.0,46.5,6.5,25.0,9.25,37.0,7,2006
302,Shinobu Asagoe,0.25,46.5,4.25,26.25,13.25,38.0,7,2006
303,Shuai Peng,1.4285714285714286,37.42857142857143,3.142857142857143,18.857142857142858,10.142857142857142,38.0,9,2006
304,Catalina Castano,2.0,40.5,4.0,24.5,12.5,38.0,13,2006
305,Roberta Vinci,2.6666666666666665,34.666666666666664,3.3333333333333335,21.666666666666668,9.666666666666666,38.0,8,2006
306,Vera Dushevina,0.2857142857142857,39.0,4.285714285714286,19.428571428571427,11.428571428571429,38.0,13,2006
307,Iveta Benesova,,,,,,39.0,12,2006
308,Marta Domachowska,2.875,39.875,5.375,23.0,9.75,39.0,14,2006
309,Shenay Perry,2.2,43.0,6.2,25.8,11.6,40.0,7,2006
310,Lourdes Dominguez Lino,,,,,,41.0,10,2006
311,Virginie Razzano,0.0,47.0,3.3333333333333335,25.333333333333332,10.0,42.0,6,2006
312,Sybille Bammer,1.5,48.9,4.1,28.1,9.3,42.0,20,2006
313,Severine Beltrame,3.0,22.0,2.5,14.5,3.5,42.0,10,2006
