,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
227,Marat Safin,8.0,0.6073209198209198,3.0,45.666666666666664,7.666666666666667,24.0,3,2007
228,David Nalbandian,5.0,0.6212454212454213,5.5,50.5,9.5,25.0,2,2007
229,Robin Soderling,14.666666666666666,0.7146390746934225,2.6666666666666665,51.333333333333336,3.3333333333333335,28.0,3,2007
230,Agustin Calleri,13.0,0.5957446808510638,3.0,47.0,3.0,29.0,1,2007
231,Jonas Bjorkman,4.428571428571429,0.671088198460599,2.2857142857142856,40.142857142857146,5.428571428571429,30.0,7,2007
232,Philipp Kohlschreiber,6.666666666666667,0.5626841711747371,1.0,29.333333333333332,0.6666666666666666,34.0,3,2007
233,Florian Mayer,5.0,0.6511643222169538,2.3333333333333335,36.0,3.3333333333333335,37.0,3,2007
234,Arnaud Clement,5.75,0.596307853095412,2.0,33.375,3.25,38.0,8,2007
235,Paul Henri Mathieu,8.0,0.5895071351131559,2.5714285714285716,38.714285714285715,3.4285714285714284,39.0,7,2007
236,Fernando Verdasco,7.0,0.7489916450590608,4.0,48.0,6.0,41.0,2,2007
237,Marc Gicquel,7.5,0.5856550580431177,2.0,36.5,5.0,42.0,2,2007
238,Benjamin Becker,10.666666666666666,0.5270606158551222,3.0,32.0,3.6666666666666665,44.0,3,2007
239,Robby Ginepri,8.0,0.6047619047619047,2.0,28.5,1.0,45.0,2,2007
240,Hyung Taik Lee,3.0,0.7256468797564688,0.6666666666666666,54.666666666666664,6.666666666666667,48.0,3,2007
241,Gilles Simon,5.0,0.6510291837022416,1.5,60.0,10.0,52.0,2,2007
242,Fabrice Santoro,2.4285714285714284,0.5791761711885715,1.5714285714285714,37.142857142857146,4.714285714285714,53.0,7,2007
243,Juan Martin del Potro,8.75,0.6649579515404956,1.5,32.5,3.0,55.0,4,2007
244,Julien Benneteau,4.666666666666667,0.6785548941798942,1.3333333333333333,30.666666666666668,2.6666666666666665,57.0,3,2007
245,Max Mirnyi,4.333333333333333,0.6368407578084998,4.0,34.333333333333336,3.3333333333333335,57.0,3,2007
246,Ivo Karlovic,20.0,0.6808376782525111,2.0,42.125,1.75,61.0,8,2007
247,Gael Monfils,22.0,0.5936924627400818,5.0,41.666666666666664,2.3333333333333335,62.0,3,2007
248,Sebastien Grosjean,6.666666666666667,0.6149714052287582,1.3333333333333333,31.0,3.3333333333333335,62.0,3,2007
249,Janko Tipsarevic,10.333333333333334,0.5595729296559755,2.8333333333333335,47.666666666666664,6.333333333333333,62.0,6,2007
250,Nicolas Lapentti,12.0,0.6462585034013606,5.0,70.0,9.0,63.0,1,2007
251,Radek Stepanek,7.0,0.6785714285714286,1.0,17.0,1.0,65.0,1,2007
252,Simone Bolelli,14.0,0.7295081967213115,0.0,62.0,3.0,65.0,1,2007
253,Vincent Spadea,3.5,0.5818181818181818,2.0,25.0,4.5,66.0,2,2007
254,Amer Delic,15.5,0.5834605597964376,4.0,48.5,7.0,67.0,2,2007
255,Guillermo Garcia Lopez,4.0,0.7008215962441315,1.0,37.5,2.5,67.0,2,2007
256,Michael Llodra,7.0,0.7142857142857143,1.0,31.5,0.5,68.0,2,2007
257,Sergio Roitman,1.0,0.6111111111111112,1.0,11.0,0.0,70.0,1,2007
258,Werner Eschauer,9.0,0.7184466019417476,5.0,56.0,5.0,72.0,1,2007
259,Tim Henman,6.5,0.5759968102073365,6.5,57.0,8.5,74.0,3,2007
260,Florent Serra,7.0,0.6920995670995671,0.0,53.5,1.0,75.0,2,2007
261,Kristof Vliegen,5.5,0.6228070175438596,1.5,38.0,7.0,76.0,2,2007
262,Nicolas Mahut,10.8,0.5639154754308189,7.0,39.4,3.0,77.0,5,2007
263,Feliciano Lopez,18.5,0.6070412517780939,7.5,56.0,4.5,78.0,2,2007
264,Evgeny Korolev,6.0,0.5617977528089888,2.0,33.0,6.0,84.0,1,2007
265,Teymuraz Gabashvili,8.0,0.4901960784313725,4.0,21.0,2.0,85.0,1,2007
266,Robert Kendrick,7.0,0.5402298850574713,6.0,39.0,5.0,86.0,1,2007
267,Michael Berrer,7.0,0.5789957134109003,3.5,36.0,3.0,91.0,2,2007
268,Igor Kunitsyn,4.0,0.6018518518518519,4.0,43.0,8.0,92.0,1,2007
269,Carlos Berlocq,9.0,0.6265060240963856,2.0,40.0,7.0,94.0,1,2007
270,Chris Guccione,12.5,0.5612409347300564,2.5,40.5,3.5,96.0,2,2007
271,Andreas Seppi,4.0,0.4936708860759494,3.0,28.0,5.0,100.0,1,2007
272,Roger Federer,10.454545454545455,0.6939698678299742,0.5454545454545454,39.0,2.5454545454545454,1.0,11,2008
273,Rafael Nadal,6.0,0.6978808817145846,1.5,51.0,3.5,2.0,12,2008
274,Novak Djokovic,9.8,0.6925810001656687,2.6,35.8,3.6,3.0,5,2008
275,Andy Murray,10.166666666666666,0.6269790311246994,2.3333333333333335,44.833333333333336,5.333333333333333,4.0,8,2008
276,David Ferrer,4.285714285714286,0.6996597595262701,1.4285714285714286,37.57142857142857,3.0,5.0,7,2008
277,Andy Roddick,12.666666666666666,0.7064814814814815,1.3333333333333333,39.333333333333336,0.6666666666666666,6.0,4,2008
278,James Blake,13.0,0.6014089543589353,3.5,37.0,5.25,7.0,4,2008
279,David Nalbandian,5.0,0.6922667975299555,2.3333333333333335,38.333333333333336,2.0,8.0,3,2008
280,Richard Gasquet,7.333333333333333,0.6511578466330629,1.6666666666666667,37.166666666666664,2.3333333333333335,9.0,6,2008
281,Stan Wawrinka,10.333333333333334,0.5779924009737675,3.6666666666666665,38.0,4.0,9.0,3,2008
